id;num_voie;indice_repet;type_voie;voie;id_commune;code_postal;type_local;surface;nb_pieces
9359;18;;RUE;DES OVIDES;1205;42100;Appartement;53;3
9360;83;;BD;VALBENOITE;1205;42100;Appartement;23;1
9361;8;;PL;SAINT ROCH;1205;42100;Appartement;78;2
9362;33;;RUE;MULATIERE;1205;42100;Appartement;62;3
9363;10;;RUE;DE LA JOMAYERE;1205;42100;Appartement;99;5
9364;2;;RUE;AUGUSTE KEUFER;1205;42100;Appartement;90;5
9365;6;;RUE;LEON NAUTIN;1204;42000;Appartement;50;2
9366;104;;CRS;FAURIEL;1205;42100;Appartement;65;3
9367;26;;RUE;VISITATION;1204;42000;Appartement;27;1
9368;34;;RUE;EMILE LITTRE;1205;42100;Appartement;32;1
9369;46;;RUE;DES DOCTEURS CHARCOT;1205;42100;Appartement;19;1
9370;81;;RUE;DE LA SABLIERE;1204;42000;Appartement;75;3
9371;12;;RUE;BROSSARD;1204;42000;Appartement;64;2
9372;7;;RUE;PAUL RONIN;1205;42100;Appartement;56;2
9373;22;;RUE;DE CHAMPAGNE;1205;42100;Appartement;87;4
9374;18;;RUE;EDMOND CHARPENTIER;1204;42000;Appartement;65;3
9375;56;;RUE;HENRI DECHAUD;1205;42100;Appartement;109;5
9376;7;;RUE;DE LA REPUBLIQUE;1204;42000;Appartement;137;6
9377;57;;RUE;MONTAGNY;1205;42100;Appartement;111;4
9378;40;;RUE;VAILLANT COUTURIER;1204;42000;Appartement;72;4
9379;45;;AV;DE ROCHETAILLEE;1205;42100;Appartement;42;1
9380;11;;RUE;RAOUL FOLLEREAU;1205;42100;Appartement;48;2
9381;107;;RUE;BERGSON;1204;42000;Appartement;44;2
9382;11;;RUE;AMPERE;1204;42000;Appartement;65;3
9383;16;;RUE;BERNARD PALISSY;1205;42100;Appartement;37;1
9384;15;;RUE;RAOUL FOLLEREAU;1205;42100;Appartement;90;5
9385;40;;RUE;BADOUILLERE;1204;42000;Appartement;18;1
9386;56;;RUE;ROBESPIERRE;1205;42100;Appartement;59;3
9387;40;;RUE;DE LA SAINTE CHAPELLE;1205;42100;Appartement;31;1
9388;19;B;RUE;JEU DE L ARC;1204;42000;Appartement;61;3
9389;7;;RUE;DE LA METARE;1205;42100;Appartement;105;6
9390;19;;RUE;MICHELET;1204;42000;Appartement;62;3
